beta,overlap_profile,concept,distance_corr,n_variables
0.0,base,concept_0,0.4833456943385539,500
0.0,base,concept_1,1.0,500
0.0,base,concept_2,0.9999999999999858,500
0.0,base,concept_3,0.6031213771496001,500
0.0,base,concept_4,0.7550370786871827,500
0.0,base,concept_5,0.6688972645050333,500
0.0,base,concept_6,0.999999999999979,500
0.0,base,concept_7,1.0,500
0.0,base,concept_8,0.685552374010863,500
0.0,base,concept_9,0.7158091944366948,500
0.0,base,concept_10,0.6705586636849147,500
0.0,base,concept_11,0.9999999999999648,500
0.0,base,concept_12,0.9999999999999801,500
0.0,base,concept_13,0.7824768748411202,500
0.0,base,concept_14,1.0,500
0.0,base,concept_15,0.7181298765109815,500
0.0,base,concept_16,1.0,500
0.0,base,concept_17,0.724973407895898,500
0.0,base,concept_18,0.8361612611264817,500
0.0,base,concept_19,0.9174840669392947,500
0.0,base,concept_20,0.9999999999999858,500
0.0,base,concept_21,1.0,500
0.0,base,concept_22,1.0,500
0.0,base,concept_23,0.9991558833668461,500
0.0,base,concept_24,0.9999999999999969,500
0.0,base,concept_25,0.5774431793319302,500
0.0,base,concept_26,0.9999999999999878,500
0.0,base,concept_27,0.9181939469205693,500
0.0,base,concept_28,0.9999999999999991,500
0.0,base,concept_29,0.9338415478918487,500
0.0,base,concept_30,0.8790633381182384,500
0.0,base,concept_31,0.90067089195857,500
0.0,base,concept_32,0.9999999999999856,500
0.0,base,concept_33,0.9999999999999667,500
0.0,base,concept_34,1.0,500
0.0,base,concept_35,0.8079525549897644,500
0.0,base,concept_36,0.8730904484068075,500
0.0,base,concept_37,0.9999999999999725,500
0.0,base,concept_38,1.0,500
0.0,base,concept_39,0.9999999999999869,500
0.0,base,concept_40,0.9342815024590573,500
0.0,base,concept_41,0.78748772623083,500
0.0,base,concept_42,0.8745312571370223,500
0.0,base,concept_43,1.0,500
0.0,base,concept_44,1.0,500
0.0,base,concept_45,0.795980900819308,500
0.0,base,concept_46,0.8268328984128421,500
0.0,base,concept_47,1.0,500
0.0,base,concept_48,0.8934546019661177,500
0.0,base,concept_49,1.0,500
0.0,base,concept_50,0.8605988252777893,500
0.0,base,concept_51,0.9331640525961642,500
0.0,base,concept_52,1.0,500
0.0,base,concept_53,0.9634178967987754,500
0.0,base,concept_54,0.9999999999999779,500
0.0,base,concept_55,0.7359005795031486,500
0.0,base,concept_56,0.9999999999999756,500
0.0,base,concept_57,1.0,500
0.0,base,concept_58,1.0,500
0.0,base,concept_59,0.9999999999999973,500
0.0,base,concept_60,0.9902524099868669,500
0.0,base,concept_61,0.7559480522750041,500
0.0,base,concept_62,1.0,500
0.0,base,concept_63,0.995094181679947,500
0.0,base,concept_64,1.0,500
0.0,base,concept_65,0.860110632815958,500
0.0,base,concept_66,0.9999999999999885,500
0.0,base,concept_67,0.9970495767765727,500
0.0,base,concept_68,1.0,500
0.0,base,concept_69,0.8710656373399088,500
0.0,base,concept_70,1.0,500
0.0,base,concept_71,1.0,500
0.0,base,concept_72,0.9394396161192098,500
0.0,base,concept_73,1.0,500
0.0,base,concept_74,0.9999999999999913,500
0.0,base,concept_75,1.0,500
0.0,base,concept_76,0.8604407055924707,500
0.0,base,concept_77,1.0,500
0.0,base,concept_78,0.8614277629768436,500
0.0,base,concept_79,0.8114283077684897,500
0.0,base,concept_80,0.9631697507578596,500
0.0,base,concept_81,1.0,500
0.0,base,concept_82,1.0,500
0.0,base,concept_83,0.999999999999991,500
0.0,base,concept_84,0.8708071139968463,500
0.0,base,concept_85,0.9999999999999944,500
0.0,base,concept_86,0.9287189110975603,500
0.0,base,concept_87,1.0,500
0.0,base,concept_88,0.9999999999999626,500
0.0,base,concept_89,0.8445318819685996,500
0.0,base,concept_90,1.0,500
0.0,base,concept_91,0.8628769127720401,500
0.0,base,concept_92,1.0,500
0.0,base,concept_93,0.7764115441976986,500
0.0,base,concept_94,0.9240355974012485,500
0.0,base,concept_95,1.0,500
0.0,base,concept_96,0.8695976135652063,500
0.0,base,concept_97,1.0,500
0.0,base,concept_98,1.0,500
0.0,base,concept_99,1.0,500
0.0,base,concept_100,1.0,500
0.0,base,concept_101,1.0,500
0.0,base,concept_102,1.0,500
