beta,overlap_profile,concept,distance_corr
0.0,base,concept_0,0.5972933316123727
0.0,base,concept_1,1.0
0.0,base,concept_2,0.5824937520240119
0.0,base,concept_3,0.7464420058986183
0.0,base,concept_4,0.4678992684410851
0.0,base,concept_5,0.4314289809737115
0.0,base,concept_6,1.0
0.0,base,concept_7,0.8804920179242122
0.0,base,concept_8,0.7408176755524261
0.0,base,concept_9,0.9241981998923237
0.0,base,concept_10,0.4995752426900073
0.0,base,concept_11,1.0
0.0,base,concept_12,0.488052175682151
0.0,base,concept_13,0.7937530784314721
0.0,base,concept_14,0.9999999999999678
0.0,base,concept_15,0.9481369317388055
0.0,base,concept_16,0.6473898836692931
0.0,base,concept_17,0.8820097329101897
0.0,base,concept_18,0.7599759485306861
0.0,base,concept_19,0.8934977383443921
0.0,base,concept_20,0.9999999999999971
0.0,base,concept_21,0.5563850238508712
0.0,base,concept_22,0.7077237561610985
0.0,base,concept_23,0.9250573795558128
0.0,base,concept_24,0.6898534965641105
0.0,base,concept_25,0.9628271554222528
0.0,base,concept_26,0.8827843328516392
0.0,base,concept_27,0.9586518474364156
0.0,base,concept_28,0.9999999999999968
0.0,base,concept_29,0.9486143579901525
0.0,base,concept_30,0.9740770235469978
0.0,base,concept_31,0.9688232012544131
0.0,base,concept_32,0.72355477514138
0.0,base,concept_33,0.8240383127772108
0.0,base,concept_34,1.0
0.0,base,concept_35,0.8674196961893414
0.0,base,concept_36,0.9768441859357527
0.0,base,concept_37,0.9999999999999971
0.0,base,concept_38,0.9999999999999678
0.0,base,concept_39,0.9999999999999716
0.0,base,concept_40,0.9002097075772819
0.0,base,concept_41,0.932199049203573
0.0,base,concept_42,0.9720635405818799
0.0,base,concept_43,1.0
0.0,base,concept_44,0.8548038826721623
0.0,base,concept_45,0.9596233103940994
0.0,base,concept_46,1.0
0.0,base,concept_47,0.9999999999999827
0.0,base,concept_48,0.8051889650059487
0.0,base,concept_49,0.8819707593448817
0.0,base,concept_50,0.9510092565367325
0.0,base,concept_51,0.9468285022652592
0.0,base,concept_52,1.0
0.0,base,concept_53,0.9203953799669417
0.0,base,concept_54,0.8791367928553183
0.0,base,concept_55,0.9539309599216153
0.0,base,concept_56,1.0
0.0,base,concept_57,0.9124903823184388
0.0,base,concept_58,0.7992209181218737
0.0,base,concept_59,0.9999999999999563
0.0,base,concept_60,0.9607880193902812
0.0,base,concept_61,0.9758391522378146
0.0,base,concept_62,1.0
0.0,base,concept_63,0.9537295386897942
0.0,base,concept_64,0.9999999999999296
0.0,base,concept_65,1.0
0.0,base,concept_66,1.0
0.0,base,concept_67,0.9738013435203502
0.0,base,concept_68,0.8962381235900423
0.0,base,concept_69,0.9346677476229344
0.0,base,concept_70,0.9999999999999774
0.0,base,concept_71,1.0
0.0,base,concept_72,0.9616713505294274
0.0,base,concept_73,0.9999999999999921
0.0,base,concept_74,1.0
0.0,base,concept_75,0.9067630492357877
0.0,base,concept_76,0.9135457768187689
0.0,base,concept_77,1.0
0.0,base,concept_78,0.9526078996477327
0.0,base,concept_79,0.9093320528151716
0.0,base,concept_80,0.9513501891331031
0.0,base,concept_81,0.9999999999999967
0.0,base,concept_82,0.9999999999999885
0.0,base,concept_83,1.0
0.0,base,concept_84,0.9044466348995306
0.0,base,concept_85,1.0
0.0,base,concept_86,0.9149499957665632
0.0,base,concept_87,1.0
0.0,base,concept_88,1.0
0.0,base,concept_89,0.9518794986281853
0.0,base,concept_90,0.7804105794680609
0.0,base,concept_91,0.9246492365199013
0.0,base,concept_92,0.8297058133558517
