beta,overlap_profile,concept,distance_corr,n_variables
0.0,base,concept_0,0.48334569433855357,500
0.0,base,concept_1,1.0,500
0.0,base,concept_2,0.9999999999999749,500
0.0,base,concept_3,0.6031213771495993,500
0.0,base,concept_4,0.7550370786871827,500
0.0,base,concept_5,0.6688972645050287,500
0.0,base,concept_6,0.9999999999999932,500
0.0,base,concept_7,1.0,500
0.0,base,concept_8,0.6855523740108718,500
0.0,base,concept_9,0.7158091944367,500
0.0,base,concept_10,0.6705586636849119,500
0.0,base,concept_11,0.9999999999999832,500
0.0,base,concept_12,0.9999999999999911,500
0.0,base,concept_13,0.7824768748411228,500
0.0,base,concept_14,1.0,500
0.0,base,concept_15,0.7181298765109825,500
0.0,base,concept_16,1.0,500
0.0,base,concept_17,0.7249734078958999,500
0.0,base,concept_18,0.8361612611264717,500
0.0,base,concept_19,0.9174840669392936,500
0.0,base,concept_20,0.9999999999999958,500
0.0,base,concept_21,1.0,500
0.0,base,concept_22,0.9999999999999939,500
0.0,base,concept_23,0.9991558833668495,500
0.0,base,concept_24,0.9999999999999895,500
0.0,base,concept_25,0.5774431793319283,500
0.0,base,concept_26,0.9999999999999853,500
0.0,base,concept_27,0.9181939469205747,500
0.0,base,concept_28,1.0,500
0.0,base,concept_29,0.9338415478918598,500
0.0,base,concept_30,0.8790633381182384,500
0.0,base,concept_31,0.9006708919585776,500
0.0,base,concept_32,0.9999999999999793,500
0.0,base,concept_33,0.9999999999999805,500
0.0,base,concept_34,1.0,500
0.0,base,concept_35,0.8079525549897645,500
0.0,base,concept_36,0.8730904484068173,500
0.0,base,concept_37,0.9999999999999732,500
0.0,base,concept_38,1.0,500
0.0,base,concept_39,1.0,500
0.0,base,concept_40,0.9342815024590492,500
0.0,base,concept_41,0.7874877262308193,500
0.0,base,concept_42,0.8745312571370232,500
0.0,base,concept_43,1.0,500
0.0,base,concept_44,1.0,500
0.0,base,concept_45,0.7959809008192938,500
0.0,base,concept_46,0.826832898412851,500
0.0,base,concept_47,0.9999999999999982,500
0.0,base,concept_48,0.8934546019661185,500
0.0,base,concept_49,1.0,500
0.0,base,concept_50,0.8605988252777819,500
0.0,base,concept_51,0.9331640525961662,500
0.0,base,concept_52,1.0,500
0.0,base,concept_53,0.9634178967987775,500
0.0,base,concept_54,0.9999999999999872,500
0.0,base,concept_55,0.73590057950315,500
0.0,base,concept_56,0.9999999999999835,500
0.0,base,concept_57,1.0,500
0.0,base,concept_58,1.0,500
0.0,base,concept_59,0.9999999999999964,500
0.0,base,concept_60,0.9902524099868649,500
0.0,base,concept_61,0.7559480522749901,500
0.0,base,concept_62,1.0,500
0.0,base,concept_63,0.9950941816799348,500
0.0,base,concept_64,1.0,500
0.0,base,concept_65,0.8601106328159713,500
0.0,base,concept_66,0.9999999999999947,500
0.0,base,concept_67,0.9970495767765636,500
0.0,base,concept_68,1.0,500
0.0,base,concept_69,0.8710656373399139,500
0.0,base,concept_70,1.0,500
0.0,base,concept_71,1.0,500
0.0,base,concept_72,0.9394396161192153,500
0.0,base,concept_73,1.0,500
0.0,base,concept_74,1.0,500
0.0,base,concept_75,0.9999999999999994,500
0.0,base,concept_76,0.8604407055924866,500
0.0,base,concept_77,0.9999999999999993,500
0.0,base,concept_78,0.8614277629768297,500
0.0,base,concept_79,0.8114283077684874,500
0.0,base,concept_80,0.9631697507578697,500
0.0,base,concept_81,1.0,500
0.0,base,concept_82,1.0,500
0.0,base,concept_83,0.9999999999999892,500
0.0,base,concept_84,0.870807113996855,500
0.0,base,concept_85,1.0,500
0.0,base,concept_86,0.9287189110975619,500
0.0,base,concept_87,1.0,500
0.0,base,concept_88,0.9999999999999759,500
