beta,overlap_profile,concept,distance_corr
0.0,base,concept_0,0.5972933316123729
0.0,base,concept_1,1.0
0.0,base,concept_2,0.5824937520240061
0.0,base,concept_3,0.74644200589863
0.0,base,concept_4,0.46789926844107943
0.0,base,concept_5,0.43142898097370685
0.0,base,concept_6,1.0
0.0,base,concept_7,0.8804920179242053
0.0,base,concept_8,0.7408176755524236
0.0,base,concept_9,0.9241981998923079
0.0,base,concept_10,0.4995752426900009
0.0,base,concept_11,1.0
0.0,base,concept_12,0.4880521756821549
0.0,base,concept_13,0.7937530784314687
0.0,base,concept_14,0.9999999999999877
0.0,base,concept_15,0.9481369317388038
0.0,base,concept_16,0.6473898836692906
0.0,base,concept_17,0.882009732910186
0.0,base,concept_18,0.759975948530685
0.0,base,concept_19,0.8934977383444098
0.0,base,concept_20,0.9999999999999961
0.0,base,concept_21,0.556385023850862
0.0,base,concept_22,0.7077237561611048
0.0,base,concept_23,0.9250573795558229
0.0,base,concept_24,0.6898534965641114
0.0,base,concept_25,0.9628271554222605
0.0,base,concept_26,0.8827843328516445
0.0,base,concept_27,0.9586518474364096
0.0,base,concept_28,0.9999999999999842
0.0,base,concept_29,0.9486143579901476
0.0,base,concept_30,0.9740770235470063
0.0,base,concept_31,0.9688232012544025
0.0,base,concept_32,0.723554775141378
0.0,base,concept_33,0.824038312777209
0.0,base,concept_34,0.9999999999999996
0.0,base,concept_35,0.8674196961893363
0.0,base,concept_36,0.9768441859357506
0.0,base,concept_37,1.0
0.0,base,concept_38,0.9999999999999774
0.0,base,concept_39,0.9999999999999821
0.0,base,concept_40,0.900209707577287
0.0,base,concept_41,0.9321990492035723
0.0,base,concept_42,0.9720635405818783
0.0,base,concept_43,0.9999999999999973
0.0,base,concept_44,0.854803882672162
0.0,base,concept_45,0.9596233103940895
0.0,base,concept_46,1.0
0.0,base,concept_47,0.9999999999999762
0.0,base,concept_48,0.8051889650059569
0.0,base,concept_49,0.8819707593448777
0.0,base,concept_50,0.9510092565367441
0.0,base,concept_51,0.9468285022652587
0.0,base,concept_52,1.0
0.0,base,concept_53,0.9203953799669402
0.0,base,concept_54,0.8791367928553261
0.0,base,concept_55,0.9539309599216096
0.0,base,concept_56,1.0
0.0,base,concept_57,0.9124903823184427
0.0,base,concept_58,0.7992209181218791
0.0,base,concept_59,0.9999999999999631
0.0,base,concept_60,0.9607880193902876
0.0,base,concept_61,0.9758391522378268
0.0,base,concept_62,1.0
0.0,base,concept_63,0.9537295386897913
0.0,base,concept_64,0.9999999999999332
0.0,base,concept_65,1.0
0.0,base,concept_66,0.9999999999999944
0.0,base,concept_67,0.9738013435203442
0.0,base,concept_68,0.8962381235900322
0.0,base,concept_69,0.9346677476229347
0.0,base,concept_70,0.9999999999999769
0.0,base,concept_71,1.0
0.0,base,concept_72,0.9616713505294127
0.0,base,concept_73,0.9999999999999871
0.0,base,concept_74,0.9999999999999989
0.0,base,concept_75,0.906763049235789
0.0,base,concept_76,0.9135457768187832
0.0,base,concept_77,1.0
0.0,base,concept_78,0.9526078996477185
0.0,base,concept_79,0.9093320528151749
0.0,base,concept_80,0.9513501891330883
0.0,base,concept_81,0.9999999999999856
0.0,base,concept_82,0.9999999999999861
0.0,base,concept_83,1.0
0.0,base,concept_84,0.9044466348995227
0.0,base,concept_85,0.9999999999999979
0.0,base,concept_86,0.9149499957665534
0.0,base,concept_87,1.0
0.0,base,concept_88,1.0
0.0,base,concept_89,0.9518794986281723
0.0,base,concept_90,0.7804105794680545
0.0,base,concept_91,0.9246492365198979
0.0,base,concept_92,0.8297058133558363
0.0,base,concept_93,0.8724317440304391
0.0,base,concept_94,0.9263538696203679
0.0,base,concept_95,0.8705713995168732
0.0,base,concept_96,0.9678746694672348
0.0,base,concept_97,1.0
0.0,base,concept_98,0.9996430306403652
