pathway,distance_corr,reduction_score_probability,eval_split,fully_connected_neuron_fraction,n_fully_connected_neurons_selected,n_pathway_nodes,overlap_threshold,run_dir
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,0.7813675403594971,0.3391141050479805,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_TRANSLATION,0.7500085830688477,0.9999448435870884,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PYRIMIDINE_CATABOLISM,0.8182779550552368,0.5291737879788755,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER,,0.7731483662696855,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0.0246692430227994,0.7698426213688676,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,0.762076735496521,0.4593991700426599,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,0.8283926844596863,0.39051528591850077,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,0.8362827301025391,0.40725215428337713,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.6923539638519287,0.8922005428381216,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION,0.0044945068657398,0.7934730391895211,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX,0.4906182587146759,0.9982358643999554,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.0544341169297695,0.6917779329584495,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,,0.7722514505082233,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_GAP_JUNCTION_DEGRADATION,0.7931019067764282,0.4700976763152875,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_BASE_EXCISION_REPAIR,,0.7823670549230031,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.5571093559265137,0.5432262683114336,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,0.0499352775514125,0.7650467181120495,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,0.7971745729446411,0.550890731983517,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_RHO_GTPASES,0.3451180160045624,0.42182178661081177,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_WNT,,0.7721799066439821,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_METABOLISM_OF_NON_CODING_RNA,0.9281976222991944,0.5973290115748736,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,-0.0022566081024706,0.6686720154371361,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.5755014419555664,0.4378649990052484,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D,,0.776212537625965,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_ANDROGEN_BIOSYNTHESIS,,0.7896278846573312,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALLING_BY_NGF,0.5837891101837158,0.7540620941681012,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE,,0.7783571085809013,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_INSULIN_RECEPTOR_RECYCLING,,0.7862548532042055,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_COPI_MEDIATED_TRANSPORT,,0.7794546961566984,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,0.2998847663402557,0.9971489926965909,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_SIGNALING_BY_SCF_KIT,0.4261879622936249,0.4999809437732418,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_DEVELOPMENTAL_BIOLOGY,0.4309864938259125,0.48336114122852847,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES,0.9133489727973938,0.3193318723721047,test,0.0,0,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_000
