pathway,distance_corr,reduction_score_probability,eval_split,fully_connected_neuron_fraction,n_fully_connected_neurons_selected,n_pathway_nodes,overlap_threshold,run_dir
REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS,0.7234935760498047,0.379481498205213,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_TRANSLATION,0.726749062538147,0.999998220760874,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PYRIMIDINE_CATABOLISM,-0.018421359360218,0.16335853316696547,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_2_PROMOTER,,0.7840073288836542,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS,0.1938544064760208,0.7946733932195211,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE,0.7092673778533936,0.5138516957433436,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS,0.7746086120605469,0.48478747907295366,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,-0.0119498129934072,0.7915176792544574,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS,0.7516339421272278,0.8787938186383839,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_RNA_POL_I_TRANSCRIPTION_TERMINATION,0.0131398569792509,0.7993356321102842,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX,0.0242205336689949,0.2987746409480772,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,-0.0298775024712085,0.8026959433088837,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS,,0.7864084107664789,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_GAP_JUNCTION_DEGRADATION,0.3570227324962616,0.5201661949990987,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_BASE_EXCISION_REPAIR,,0.7913955415957772,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,0.0229868944734334,0.7864253824506463,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL,-0.006865563802421,0.7843184895269383,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS,0.4321891367435455,0.46403169377134207,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_RHO_GTPASES,0.3155903220176697,0.4124575625303124,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALING_BY_WNT,,0.797024822230947,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_METABOLISM_OF_NON_CODING_RNA,0.8313542604446411,0.6962069484665727,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL,0.0021783197298645,0.7812426824136723,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS,0.0640390366315841,0.48390351085687733,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_METABOLISM_OF_STEROID_HORMONES_AND_VITAMINS_A_AND_D,,0.7846529686341229,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_ANDROGEN_BIOSYNTHESIS,,0.7936570256947171,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_SIGNALLING_BY_NGF,0.4918681383132934,0.7340158859593489,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_CTNNB1_PHOSPHORYLATION_CASCADE,,0.796307638616237,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_INSULIN_RECEPTOR_RECYCLING,,0.7854242463900887,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_COPI_MEDIATED_TRANSPORT,,0.8033416219517514,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,0.508359968662262,0.90845098770164,test,0.1,67,674,0.5,/Users/charlottejob/Code/Evaluation_neuron_interpretability/vega_fcn_sweep/fcn_010
